Green Bond ISIN,Green Bond Name,Trucost Issuer ID, Issuer Name,Issuer GICS Sector / Category,Issuer Country of Origin,Issue Date,Creation Date,Latest Analysis Date,Nominal Amount,Currency,USD Reported Currency Exchange Rate,Maturity Date,Coupon (%),Labelling,Africa (% of UOP),Asia (% of UOP),Europe (% of UOP),North America (% of UOP),Oceania (% of UOP),South America (% of UOP),Undisclosed region (% of UOP),CBI Category,CBI - Green Proceeds (% of UOP),CBI - Renewable Electricity and Heat Production (% of UOP),CBI - Other Electricity and Heat Production (% of UOP),CBI - Nuclear Energy (%UOP),"CBI -  Transmission, distribution & storage (% of UOP)",CBI -  Transport (% of UOP),CBI -  Water (% of UOP),CBI -  Buildings (% of UOP),CBI -  Land Use and Marine Resources (% of UOP),CBI -  Industry (% of UOP),CBI -  Waste (% of UOP),CBI -  ICT (% of UOP),CBI - Others Green (% of UOP),CBI - Undisclosed/Not disbursed proceeds (% of UOP),CBI - Proceeds that are Not Green (% of UOP),Wind Energy (% of UOP),Solar Energy (% of UOP),Hydro Energy (% of UOP),Geothermal Energy (% of UOP),Wave/Tidal Energy (% of UOP),Cogeneration Energy (% of UOP),Bioenergy (% of UOP),Residential Buildings (% of UOP),Commercial Buildings (% of UOP),Energy Efficient Products (% of UOP),Industrial Efficiencies (% of UOP),National Rail (% of UOP),Urban Rail (% of UOP),Public Road Transport (% of UOP),Private Road Transport (% of UOP),Social (% of UOP),Total (GWh),Total Area (m2),Total Passenger (km),Total Energy savings (MWh),CBI - Renewable Electricity and Heat Production (GWh),CBI - Area (m2),CBI - Passenger (km),CBI - Energy savings (MWh),Annual Construction & Disposal emissions (tCO2e),Annual Operational emissions (tCO2e),Lifetime Construction & Disposal emissions (tCO2e),Lifetime Operational emissions (tCO2e),Lifetime emission intensity (tCO2e per GWh),Lifetime emission intensity (tCO2e per Area m2),Lifetime emission intensity (tCO2e per passenger km),Lifetime emission intensity (tCO2e per energy savings MWh),SDG 13 (13.2) Calculated Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Calculated Avoided Emissions Attributable to the bond (tCO2e),Use of Proceeds Covered by Calculated Avoided Emissions (%),SDG 13 (13.2) Disclosed Avoided Emissions Intensity (tCO2e/USD million invested),SDG 13 (13.2) Disclosed Avoided Emissions (tCO2e),Use of Proceeds Covered by Disclosed Avoided Emissions (%),Calculated Avoided Emissions - Confidence Level,Issuer Score,Impact Score,Use of Proceeds Covered by Impact Score (%),Overall Governance Score,Governance/UOP Score (%),Governance/Process Score (%),Governance/Management Score (%),Governance/Reporting Score (%),Sources
AU3CB0258739,2.9% SNR NTS 26/11/2025 AUD500000'100601,234773,International Bank for Reconstruction and Development,Financials,United States,26/11/2018,26/10/2021,27/10/2021,300,AUD,0.71,26-11-25,2.9,Green,7,53,14,8,0,18,0,Transport,100,19,0,0,4,30,5,0,12,3,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-430,"-91,925",,NA,62,50,,83,100,100,33,100,https://issuu.com/jlim5/docs/world-bank-ibrd-impact-report-2020?mode=window
XS1980857319,1% SNR NTS 14/11/2042 EUR1000'2388/0100',91158,European Investment Bank,Financials,Luxembourg,09/04/2019,05/10/2021,22/10/2021,500,EUR,1.15,14-11-42,1,Green,4,2,80,0,0,0,14,Transport,100,26,0,0,1,52,0,7,0,0,0,0,0,14,0,3,3,17,0,0,0,0,0,6,0,0,40,12,0,0,0,318,"15,106","97,025,428",NA,318,"15,106","97,025,428",NA,"5,863","28,277","134,840","650,373",246,1,NA,NA,-149,"-85,783",,-239,"-137,539",,Moderate,97,66,,98,93,100,100,100,https://www.eib.org/attachments/fi/cab-impact-report-2020.xlsx
CA748148RX35,CAD$ GLOBAL NT SER QU 2.600 Jul-6-2025,NA,Province of Quebec,Industrials,Canada,28/06/2018,13/09/2021,13/09/2021,500,CAD,0.76,6/7/2025,2.6,Green,0,0,0,100,0,0,0,Transport,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,-5,"-1,971",,NA,NA,70,,100,100,100,100,100,http://www.finances.gouv.qc.ca/documents/Autres/en/AUTEN_MFQ_OblVertes_Bulletin_Juillet2021.pdf
XS2066706735,1.125% GTD SNR EMTN 17/10/34 EUR1000'85',240766,Enel Finance International N.V.,Financials,Netherlands,17/10/2019,17/09/2021,20/09/2021,500,EUR,1.16,17-10-34,1.13,No sufficient information,0,0,0,0,0,0,100,No sufficient information,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,27,0,,53,0,100,67,43,https://www.enel.com/content/dam/enel-com/documenti/investitori/sostenibilita/2020/sustainability-report_2020.pdf; https://www.enel.com/content/dam/enel-common/press/en/2019-October/EURO%20SDG%20Bond%20ENG.pdf; https://www.enel.com/content/dam/enel-com/documenti/investitori/investire-in-enel/programmi-principali/en/sustainability-linked-financing-framework_january2021.pdf
AU3CB0265239,1.5% GTD SNR MTN 24/07/24 AUD500000'REGS,89834,KfW,Financials,Germany,24/07/2019,20/09/2021,20/09/2021,450,AUD,0.71,24-07-24,1.5,Green,0,0,100,0,0,0,0,Buildings,100,21,0,0,0,0,0,79,0,0,0,0,0,0,0,15,6,0,0,0,0,0,79,0,0,0,0,0,0,0,0,71,"132,022",NA,NA,71,"132,022",NA,NA,"3,458","9,636","17,291","48,179",94,4,NA,NA,-80,"-25,618",,-156,"-50,018",,Moderate,38,77,,77,75,100,33,100,https://www.kfw.de/PDF/Investor-Relations/PFD-Dokumente-Green-Bonds/KfW-Green-Bond-Allocation-Report-2019-2.pdf 
IT0005438004,1.5% SNR BDS 30/04/2045 EUR1000 'REGS',NA,Italy,Industrials,Italy,10/03/2021,28/09/2021,28/09/2021,8500,EUR,1.19,30-04-45,1.5,Green,0,0,100,0,0,0,0,Transport,100,1,0,0,0,55,0,23,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,78,50,,59,75,100,33,29,http://www.dt.mef.gov.it/export/sites/sitodt/modules/documenti_en/debito_pubblico/presentazioni_studi_relazioni/Green_Bond_GCI_Presentation_x01.03.2021x.pdf
ES0000012J07,1% BDS 30/07/2042 EUR1000,NA,Spain,Industrials,Spain,14/09/2021,13/10/2021,14/10/2021,5000,EUR,1.16,30-07-42,1,Green,0,0,100,0,0,0,0,Transport,100,4,0,0,0,72,12,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,72,55,,69,75,100,100,0,https://www.tesoro.es/sites/default/files/Presentacion/210727_tesoro_green_bond_ppt_v16.pdf
CA68321ZAC55,FR 4.248%011849,243899,Ontario Power Generation Inc.,Utilities,Canada,16/01/2019,16/10/2021,17/10/2021,500,CAD,0.76,18-01-49,4.25,Green,0,0,0,99,0,0,1,Renewable Electricity and Heat Production,100,99,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"4,042","4,027","121,275","120,807",9,NA,NA,NA,"-1,041","-398,121",,"-1,765","-675,000",,Low,NA,96,,94,75,100,100,100,https://www.opg.com/documents/2020-green-bond-impact-report/
CA68321ZAG69,FR 3.215%040830,243899,Ontario Power Generation Inc.,Utilities,Canada,02/04/2020,16/10/2021,17/10/2021,800,CAD,0.77,8/4/1930,3.22,Green,0,0,0,100,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,94,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,096",NA,NA,NA,"1,096",NA,NA,NA,"7,452","8,789","74,524","87,894",17,NA,NA,NA,-756,"-468,351",,"-1,217","-754,408",,Low,NA,96,,100,100,100,100,100,https://www.opg.com/documents/2021-green-bond-impact-report-pdf/
FR0014002JM6,0.5% BDS 25/06/2044 EUR1 'REGS',NA,France,Industrials,France,23/03/2021,14/10/2021,18/10/2021,7000,EUR,1.19,25-06-44,0.5,Green,0,0,100,0,0,0,0,Buildings,100,14,0,0,0,20,0,33,23,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,87,45,,59,75,100,33,29,https://www.aft.gouv.fr/en/publications/communiques-presse/20210316-launch-new-green-oat
US71567RAL06,PERUSAHAAN PENERBIT SBSN INDON FR 3.9%082024                  ,NA,Perusahaan Penerbit SBSN Indonesia III,Financials,Indonesia,12/02/2019,18/10/2021,18/10/2021,750,USD,1,20-08-24,3.9,Green,0,100,0,0,0,0,0,Transport,100,4,0,0,0,48,0,0,0,0,9,0,39,0,0,0,0,0,0,0,0,0,0,0,28,0,48,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,"-5,972","-4,479,368",,NA,27,53,,100,100,100,100,100,https://djppr.kemenkeu.go.id/uploads/files/dmodata/in/6Publikasi/Offering%20Circular/Green%20Sukuk%20Allocation%20and%20Impact%20Report_2021%20FINAL.pdf
CA045167FA66,FR 0.75%021026,234772,Asian Development Bank,Financials,Philippines,02/02/2021,20/10/2021,21/10/2021,1250,CAD,0.8,10/2/2026,0.75,Green,0,99,0,0,1,0,0,Transport,100,19,0,0,5,69,1,1,1,0,0,0,5,0,0,3,5,1,4,0,0,3,1,0,0,0,20,40,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,65,70,,66,100,100,33,29,https://www.adb.org/sites/default/files/page/149831/adb-green-bonds-eligible-projects-20210630.pdf
XS1555168951,0.7% SNR NTS 25/01/23 SEK10000'1453'REGS,234784,Nederlandse Waterschapsbank N.V.,Financials,Netherlands,25/01/2017,21/10/2021,21/10/2021,3000,SEK,0.11,25-01-23,0.7,Green,0,0,100,0,0,0,0,Water,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,NA,52,,45,75,33,0,71,https://nwbbank.com/download_file/813/529
AU3CB0277077,0.75% SNR MTN 15/07/2027 AUD1000,91158,European Investment Bank,Financials,Luxembourg,15/01/2021,08/10/2021,11/10/2021,1250,AUD,0.76,15-07-27,0.75,No sufficient information,0,0,0,0,0,0,100,No sufficient information,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,97,0,,57,0,100,100,29,https://www.eib.org/en/investor_relations/recentissues/au3cb02770771.htm; https://www.eib.org/attachments/fi/eib-cab-framework-2020.pdf
XS2231589784,0.95% SNR MTN 21/09/2023 USD200000 '103',51359,Bank Of China (Succursale De Paris),Financials,France,21/09/2020,21/09/2021,24/09/2021,500,USD,1,21-09-23,0.95,Green,0,92,8,0,0,0,0,Water,100,47,0,0,0,0,53,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,513",NA,NA,NA,"1,513",NA,NA,NA,"6,786","23,876","20,357","71,628",20,NA,NA,NA,"-1,761","-880,444",,-113,"-56,661",,Moderate,78,89,,100,100,100,100,100,https://pic.bankofchina.com/bocappd/report/202104/P020210430613964103782.pdf
XS2268340010,0% SNR EMTN 07/12/2028 EUR100000'30'REGS,43397,Snam S.p.A.,Utilities,Italy,07/12/2020,16/09/2021,24/09/2021,600,EUR,1.19,7/12/2028,0,Green,0,0,100,0,0,0,0,Others Green,100,36,0,0,0,0,0,4,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,0,0,,0,57,100,100,71,https://www.snam.it/export/sites/snam-rp/it/investor-relations/debito_credit_rating/file/Snam_Climate_Action_and_Transition_bonds_Report_2021.pdf
XS1241581179,0.875% SNR EMTN 04/06/2021 EUR100000 '7',231338,TenneT Holding B.V.,Utilities,Netherlands,04/06/2015,23/11/2021,23/11/2021,500,EUR,1.14,4/6/2021,0.88,Green,0,0,100,0,0,0,0,"Transmission, distribution & storage",100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,NA,NA,NA,569,NA,NA,NA,"1,936","8,977","11,616","53,865",NA,NA,NA,NA,-572,"-326,166",,-796,"-454,098",,Moderate,NA,0,,100,100,100,100,100,https://www.tennet.eu/fileadmin/user_upload/Company/Our_Responsibility/CSR_2020/2020_GFR_TenneT_Holding_B.V..pdf
DE000LB1M214,0.2% SNR NTS 13/12/21 EUR100000'790'REGS,48355,Landesbank Baden-W?rttemberg,Financials,Germany,13/12/2017,15/11/2021,15/11/2021,750,EUR,1.16,13-12-21,0.2,Green,0,0,50,23,0,0,27,Buildings,100,27,0,0,0,0,0,73,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,72,0,0,0,0,0,0,0,298,"191,348",NA,NA,298,"191,348",NA,NA,"14,173","26,677","56,694","106,707",69,6,NA,NA,-179,"-155,442",,-140,"-121,526",,Low,NA,85,,77,75,100,33,100,https://www.lbbw.de/konzern/disclaimer/disclaimer-green-bonds/lbbw_green_bonduse_of_proceeds_impact_reporting_20210518_ac129o3pog_m.pdf; https://www.lbbw.de/konzern/disclaimer/disclaimer-green-bonds/green_bond_framework_and_portfolio_20201231_english_ac28tj1d4c_m.pdf?r=mja0mw
XS2231191748,4.875%-FRN SUB EMTN PERP EUR100000 '16',238369,CPI Property Group S.A.,Real Estate,Luxembourg,16/09/2020,22/11/2021,23/11/2021,500,EUR,1.19,Perpetual,4.88,Not Green,0,0,0,0,0,0,100,Proceeds that are Not Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,NA,11,0,,0,0,0,0,0,https://www.cpipg.com/uploads/92e098a57f0482a611c0df877a04301156d94a84.pdf; https://www.cpipg.com/uploads/978888d5c758951080cb5df37f933fb0436326d4.pdf
XS1924319301,3.724% GTD SNR EMTN 08/12/2025 USD250000,42800,Iberdrola Finanzas S.A.U.,Financials,Spain,21/12/2018,08/12/2021,13/12/2021,50,USD,1,8/12/2025,3.72,Green,0,0,0,100,0,0,0,Renewable Electricity and Heat Production,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,NA,NA,NA,64,NA,NA,NA,291,"1,460","7,272","36,506",27,NA,NA,NA,-674,"-33,676",,-644,"-32,223",,High,50,88,,100,100,100,100,100,https://www.iberdrola.com/wcorp/gc/prod/en_US/inversores/docs/Green_financing_returns_report_2020.pdf
